group	seed	delta	variant_score	baseline_score	divergence_turn	turn_bucket	variant_mode	baseline_mode	remaining	remaining_bucket	active	variant_cell	baseline_cell	variant_raw	baseline_raw
top_loss	4982	110.0	230.767372698662	120.767372698662	3	early_<=30	CHASE	HUNT		remaining_unknown	0	10,4	9,7	turn=7 mode=CHASE cluster=0 cluster_len=1 cell=10,4 score=100000.672208 chase_score=5040.672208 prob=0.672208	turn=3 mode=HUNT rank=1 cell=9,7 score=1.298084 prob=1.149203 density=1.115625 center=0.015000
top_loss	4178	110.0	366.982480844753	256.982480844753	5	early_<=30	CHASE	HUNT		remaining_unknown	0	8,10	11,8	turn=8 mode=CHASE cluster=0 cluster_len=1 cell=8,10 score=100003.234437 chase_score=5154.734437 prob=3.234437	turn=5 mode=HUNT rank=1 cell=11,8 score=3.912795 prob=3.197319 density=1.217659 center=0.016000
top_loss	3756	109.0	283.736681490955	174.736681490955	3	early_<=30	CHASE	HUNT		remaining_unknown	0	13,10	9,8	turn=8 mode=CHASE cluster=0 cluster_len=1 cell=13,10 score=100002.363120 chase_score=5109.863120 prob=2.363120	turn=3 mode=HUNT rank=1 cell=9,8 score=2.792654 prob=2.587862 density=1.072165 center=0.017000
top_loss	1827	109.0	211.907401171439	102.907401171439	3	early_<=30	CHASE	HUNT		remaining_unknown	0	6,5	6,6	turn=5 mode=CHASE cluster=0 cluster_len=1 cell=6,5 score=100001.036884 chase_score=5054.036884 prob=1.036884	turn=3 mode=HUNT rank=1 cell=6,6 score=2.464406 prob=1.906222 density=1.285220 center=0.013000
top_loss	3587	103.0	283.219921175436	180.219921175436	3	early_<=30	CHASE	HUNT		remaining_unknown	0	12,7	11,11	turn=8 mode=CHASE cluster=0 cluster_len=1 cell=12,7 score=100000.443616 chase_score=5017.943616 prob=0.443616	turn=3 mode=HUNT rank=1 cell=11,11 score=0.623986 prob=0.611240 density=1.000000 center=0.011000
top_loss	4216	100.0	266.389313012387	166.389313012387	3	early_<=30	CHASE	HUNT		remaining_unknown	0	8,8	9,8	turn=4 mode=CHASE cluster=0 cluster_len=1 cell=8,8 score=100002.376774 chase_score=5105.876774 prob=2.376774	turn=3 mode=HUNT rank=1 cell=9,8 score=2.449477 prob=2.395861 density=1.014085 center=0.017000
top_loss	3033	97.0	271.898277258681	174.898277258681	3	early_<=30	CHASE	HUNT		remaining_unknown	0	8,9	9,9	turn=4 mode=CHASE cluster=0 cluster_len=1 cell=8,9 score=100001.923500 chase_score=5083.423500 prob=1.923500	turn=3 mode=HUNT rank=1 cell=9,9 score=2.234594 prob=2.215523 density=1.000000 center=0.017000
top_loss	2479	97.0	295.415848271195	198.415848271195	3	early_<=30	CHASE	HUNT		remaining_unknown	0	8,7	7,7	turn=4 mode=CHASE cluster=0 cluster_len=1 cell=8,7 score=100003.355495 chase_score=5156.855495 prob=3.355495	turn=3 mode=HUNT rank=1 cell=7,7 score=4.917603 prob=3.671520 density=1.335125 center=0.015000
top_loss	3685	95.0	287.941522578744	192.941522578744	3	early_<=30	CHASE	HUNT		remaining_unknown	0	9,11	9,10	turn=5 mode=CHASE cluster=0 cluster_len=1 cell=9,11 score=100001.158187 chase_score=5110.158187 prob=1.158187	turn=3 mode=HUNT rank=1 cell=9,10 score=2.674457 prob=2.148370 density=1.235294 center=0.019000
top_loss	1924	95.0	253.791700996729	158.791700996729	3	early_<=30	CHASE	HUNT		remaining_unknown	0	7,8	8,8	turn=4 mode=CHASE cluster=0 cluster_len=1 cell=7,8 score=100003.576258 chase_score=5126.076258 prob=3.576258	turn=3 mode=HUNT rank=1 cell=8,8 score=3.702339 prob=3.685356 density=1.000000 center=0.015000
top_loss	4716	93.0	322.085300324372	229.085300324372	3	early_<=30	CHASE	HUNT		remaining_unknown	0	7,13	9,10	turn=7 mode=CHASE cluster=0 cluster_len=1 cell=7,13 score=100000.910564 chase_score=5084.160564 prob=0.910564	turn=3 mode=HUNT rank=1 cell=9,10 score=1.962116 prob=1.752086 density=1.107692 center=0.019000
top_loss	2951	92.0	224.559053477787	132.559053477787	5	early_<=30	CHASE	HUNT		remaining_unknown	0	7,8	8,8	turn=6 mode=CHASE cluster=0 cluster_len=1 cell=7,8 score=100002.281821 chase_score=5082.281821 prob=2.281821	turn=5 mode=HUNT rank=1 cell=8,8 score=2.570739 prob=2.341367 density=1.090909 center=0.015000
top_loss	2875	92.0	269.999705338365	177.999705338365	3	early_<=30	CHASE	HUNT		remaining_unknown	0	12,4	10,6	turn=8 mode=CHASE cluster=0 cluster_len=1 cell=12,4 score=100001.138869 chase_score=5070.138869 prob=1.138869	turn=3 mode=HUNT rank=1 cell=10,6 score=2.281174 prob=1.686924 density=1.340841 center=0.015000
top_loss	2227	92.0	185.895214579104	93.895214579104	3	early_<=30	CHASE	HUNT		remaining_unknown	0	6,5	8,6	turn=5 mode=CHASE cluster=0 cluster_len=1 cell=6,5 score=100001.219002 chase_score=5038.219002 prob=1.219002	turn=3 mode=HUNT rank=1 cell=8,6 score=1.441815 prob=1.295937 density=1.102041 center=0.013000
top_loss	52	90.0	255.332982255788	165.332982255788	3	early_<=30	CHASE	HUNT		remaining_unknown	0	7,10	9,9	turn=5 mode=CHASE cluster=0 cluster_len=1 cell=7,10 score=100002.691257 chase_score=5107.691257 prob=2.691257	turn=3 mode=HUNT rank=1 cell=9,9 score=3.216791 prob=3.198765 density=1.000000 center=0.015000
top_loss	4260	86.0	196.261219945316	110.261219945316	5	early_<=30	CHASE	HUNT		remaining_unknown	0	3,7	4,4	turn=9 mode=CHASE cluster=0 cluster_len=1 cell=3,7 score=100000.910953 chase_score=5029.910953 prob=0.910953	turn=5 mode=HUNT rank=1 cell=4,4 score=1.563004 prob=1.166947 density=1.329216 center=0.009000
top_loss	2882	86.0	299.086707346363	213.086707346363	3	early_<=30	CHASE	HUNT		remaining_unknown	0	11,9	10,9	turn=5 mode=CHASE cluster=0 cluster_len=1 cell=11,9 score=100001.558600 chase_score=5125.058600 prob=1.558600	turn=3 mode=HUNT rank=1 cell=10,9 score=3.242757 prob=3.224054 density=1.000000 center=0.016000
