seed	variant_score	baseline_score	delta_variant_minus_baseline
2548	85.941118304013	85.941118304013	+0.000000000000
2545	236.111023752943	236.111023752943	+0.000000000000
2532	175.624142154684	175.624142154684	+0.000000000000
2531	23.569497109933	23.569497109933	+0.000000000000
2524	34.899568117717	34.899568117717	+0.000000000000
2521	79.675896197058	79.675896197058	+0.000000000000
2520	259.010577635357	259.010577635357	+0.000000000000
2508	31.227441723704	31.227441723704	+0.000000000000
2506	126.925066891375	126.925066891375	+0.000000000000
2501	142.765326574373	142.765326574373	+0.000000000000
2497	230.503308588463	230.503308588463	+0.000000000000
2490	98.911794003072	98.911794003072	+0.000000000000
2488	124.096354843490	124.096354843490	+0.000000000000
2485	54.232249433280	54.232249433280	+0.000000000000
2484	55.811561992001	55.811561992001	+0.000000000000
2483	52.958971823011	52.958971823011	+0.000000000000
2480	134.381938552862	134.381938552862	+0.000000000000
2478	226.988873131061	226.988873131061	+0.000000000000
2475	62.546905970892	62.546905970892	+0.000000000000
2472	59.363526612665	59.363526612665	+0.000000000000
2469	44.809559660375	44.809559660375	+0.000000000000
2460	120.821897513549	120.821897513549	+0.000000000000
2452	32.147570160998	32.147570160998	+0.000000000000
2451	151.036556222720	151.036556222720	+0.000000000000
2447	77.716808789154	77.716808789154	+0.000000000000
2445	178.713095214668	178.713095214668	+0.000000000000
2441	36.920937996010	36.920937996010	+0.000000000000
2440	260.510939444480	260.510939444480	+0.000000000000
2437	303.713926875516	303.713926875516	+0.000000000000
2430	99.888592144664	99.888592144664	+0.000000000000
2425	230.963688702991	230.963688702991	+0.000000000000
2422	157.585029750240	157.585029750240	+0.000000000000
2419	189.019407790454	189.019407790454	+0.000000000000
2418	70.039946795720	70.039946795720	+0.000000000000
2416	311.205605979411	311.205605979411	+0.000000000000
2414	404.971806473181	404.971806473181	+0.000000000000
2413	37.223673917020	37.223673917020	+0.000000000000
2409	317.478635194598	317.478635194598	+0.000000000000
2406	78.527419761651	78.527419761651	+0.000000000000
2401	146.421219534062	146.421219534062	+0.000000000000
2394	126.605308453024	126.605308453024	+0.000000000000
2390	233.616040620640	233.616040620640	+0.000000000000
2386	28.512593785790	28.512593785790	+0.000000000000
2385	26.770123025310	26.770123025310	+0.000000000000
2384	61.490660681722	61.490660681722	+0.000000000000
2371	198.054454848559	198.054454848559	+0.000000000000
2360	82.804555935884	82.804555935884	+0.000000000000
2359	83.736609888178	83.736609888178	+0.000000000000
2328	194.930226781467	194.930226781467	+0.000000000000
2327	344.519710574210	344.519710574210	+0.000000000000
2326	122.787812197334	122.787812197334	+0.000000000000
2323	157.213715021440	157.213715021440	+0.000000000000
2311	68.881269194203	68.881269194203	+0.000000000000
2306	54.124690711033	54.124690711033	+0.000000000000
2301	80.760298191982	80.760298191982	+0.000000000000
2292	193.566308521258	193.566308521258	+0.000000000000
2288	259.320176023294	259.320176023294	+0.000000000000
2286	254.207253317763	254.207253317763	+0.000000000000
2276	169.921758709783	169.921758709783	+0.000000000000
2275	64.418359350357	64.418359350357	+0.000000000000
2274	170.784145756965	170.784145756965	+0.000000000000
2272	187.248734649061	187.248734649061	+0.000000000000
2270	199.909801479523	199.909801479523	+0.000000000000
2267	28.375373353735	28.375373353735	+0.000000000000
2258	221.561961928063	221.561961928063	+0.000000000000
2254	92.207096704672	92.207096704672	+0.000000000000
2253	154.200334932726	154.200334932726	+0.000000000000
2252	343.075184258107	343.075184258107	+0.000000000000
2247	209.330207954291	209.330207954291	+0.000000000000
2245	122.186387663992	122.186387663992	+0.000000000000
2241	105.209940592608	105.209940592608	+0.000000000000
2237	173.120660243929	173.120660243929	+0.000000000000
2235	262.067766499537	262.067766499537	+0.000000000000
2231	80.411211993637	80.411211993637	+0.000000000000
2229	216.585212086472	216.585212086472	+0.000000000000
2217	52.356478401399	52.356478401399	+0.000000000000
2211	144.399461507439	144.399461507439	+0.000000000000
2209	56.707401583422	56.707401583422	+0.000000000000
2200	46.624621533096	46.624621533096	+0.000000000000
